id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1388942130828087296,1388942130828087296,2021-05-02 22:43:03 +03,2021-05-02,22:43:03,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@ICAICMA  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'icaicma', 'name': 'the institute of cost accountants of india', 'id': '2951561761'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388942130828087296,False,,0,,,,,,,,[],,,,
1388942024477270016,1388942024477270016,2021-05-02 22:42:38 +03,2021-05-02,22:42:38,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@theicai  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'theicai', 'name': 'institute of chartered accountants of india - icai', 'id': '1526678654'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388942024477270016,False,,0,,,,,,,,[],,,,
1388941709401153536,1388941709401153536,2021-05-02 22:41:23 +03,2021-05-02,22:41:23,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@EconomicTimes  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'economictimes', 'name': 'economic times', 'id': '39743812'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388941709401153536,False,,0,,,,,,,,[],,,,
1388940889129586694,1388940889129586694,2021-05-02 22:38:07 +03,2021-05-02,22:38:07,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@amitabhk87  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'amitabhk87', 'name': 'amitabh kant', 'id': '75237089'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388940889129586694,False,,0,,,,,,,,[],,,,
1388940799669194754,1388940799669194754,2021-05-02 22:37:46 +03,2021-05-02,22:37:46,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@NITIAayog  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'nitiaayog', 'name': 'niti aayog', 'id': '1244137812'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388940799669194754,False,,0,,,,,,,,[],,,,
1388940721478983680,1388940721478983680,2021-05-02 22:37:27 +03,2021-05-02,22:37:27,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@startupindia  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'startupindia', 'name': 'startup india', 'id': '4667591756'}]",[],[],0,0,1,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388940721478983680,False,,0,,,,,,,,[],,,,
1388940633247666177,1388940633247666177,2021-05-02 22:37:06 +03,2021-05-02,22:37:06,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@minmsme  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'minmsme', 'name': 'ministry of msme', 'id': '2595957175'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388940633247666177,False,,0,,,,,,,,[],,,,
1388940385397792768,1388940385397792768,2021-05-02 22:36:07 +03,2021-05-02,22:36:07,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nitin_gadkari  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'nitin_gadkari', 'name': 'nitin gadkari', 'id': '97217966'}]",[],[],0,1,1,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388940385397792768,False,,0,,,,,,,,[],,,,
1388940269345591297,1388940269345591297,2021-05-02 22:35:40 +03,2021-05-02,22:35:40,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@ianuragthakur  Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'ianuragthakur', 'name': 'anurag thakur', 'id': '381949397'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388940269345591297,False,,0,,,,,,,,[],,,,
1388940168996921346,1388940168996921346,2021-05-02 22:35:16 +03,2021-05-02,22:35:16,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman   Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,"[{'screen_name': 'nsitharaman', 'name': 'nirmala sitharaman', 'id': '58243368'}]",[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388940168996921346,False,,0,,,,,,,,[],,,,
1388922977748717570,1388922977748717570,2021-05-02 21:26:57 +03,2021-05-02,21:26:57,+0300,140606706,jason_rowley,Jason D. Rowley,,Request for startup: Smoke detector which the user can address via Bluetooth to declare that they’re just trying to make a burger and that the exhaust fan on the stove doesn’t actually do anything,en,[],[],[],4,2,20,[],[],https://twitter.com/Jason_Rowley/status/1388922977748717570,False,,0,,,,,,,,[],,,,
1388912287512240128,1388912287512240128,2021-05-02 20:44:28 +03,2021-05-02,20:44:28,+0300,16061812,ricfulop,Ric Fulop 🚀,,Request for startup: a credit card that’s connected to your crypto wallet and settles without converting to dollars when someone accepts crypto.,en,[],[],[],3,0,8,[],[],https://twitter.com/ricfulop/status/1388912287512240128,False,https://twitter.com/chad_hurley/status/1388696459839561733,0,,,,,,,,[],,,,
1388884138611154944,1378351279328559106,2021-05-02 18:52:37 +03,2021-05-02,18:52:37,+0300,67537455,makemytripcare,MakeMyTrip Care,,@startup_whistle Request you to please DM us your MMT booking details for us to check and assist you.   https://t.co/jq6HypUQKH,en,[],['https://twitter.com/messages/compose?recipient_id=67537455'],[],0,0,0,[],[],https://twitter.com/makemytripcare/status/1388884138611154944,False,,0,,,,,,,,"[{'screen_name': 'startup_whistle', 'name': 'Startup Guy', 'id': '933768417407991808'}]",,,,
1388870489452412929,1388719669419253763,2021-05-02 17:58:23 +03,2021-05-02,17:58:23,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@rannjeeets Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave @DIPPGOI,en,"[{'screen_name': 'dippgoi', 'name': 'dpiit india', 'id': '2585154385'}]",[],[],1,13,17,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388870489452412929,False,,0,,,,,,,,"[{'screen_name': 'rannjeeets', 'name': 'Ranjeet | GST 🇮🇳', 'id': '1200068200265707521'}]",,,,
1388771890475323392,1388692855695282176,2021-05-02 11:26:35 +03,2021-05-02,11:26:35,+0300,21505788,n2nother,Sean Mesler,,@KowabungaKody @kunaiss @crack_bandicoot It’s not about the difficulty. It’s about the game taking a while on a run and if you have to take a break mid run for any reason you can only pause and leave in rest mode. The request is save and quit and come back to it. Once you start up again the save would be overwritten.,en,[],[],[],0,0,0,[],[],https://twitter.com/N2NOther/status/1388771890475323392,False,,0,,,,,,,,"[{'screen_name': 'KowabungaKody', 'name': 'Kody Dotson', 'id': '3441483797'}, {'screen_name': 'kunaiss', 'name': 'ً', 'id': '1290057713829974021'}, {'screen_name': 'crack_bandicoot', 'name': 'Bandicoot', 'id': '1269730122090725376'}]",,,,
1388568181363511299,1388423401425932288,2021-05-01 21:57:07 +03,2021-05-01,21:57:07,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@FinMinIndia @ianuragthakur @nsitharamanoffc @Anurag_Office @PIB_India @DDNewslive @airnewsalerts @cbic_india @GST_Council @ficci_india @ASSOCHAM4India @FollowCII Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave @DIPPGOI,en,"[{'screen_name': 'dippgoi', 'name': 'dpiit india', 'id': '2585154385'}]",[],[],0,2,4,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388568181363511299,False,,0,,,,,,,,"[{'screen_name': 'FinMinIndia', 'name': 'Ministry of Finance', 'id': '2613904818'}, {'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': '381949397'}, {'screen_name': 'nsitharamanoffc', 'name': 'NSitharamanOffice', 'id': '912211757363367936'}, {'screen_name': 'Anurag_Office', 'name': 'Office of Mr. Anurag Thakur', 'id': '1093439162643030016'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'DDNewslive', 'name': 'DD News', 'id': '1100927498'}, {'screen_name': 'airnewsalerts', 'name': 'All India Radio News', 'id': '1056850669'}, {'screen_name': 'cbic_india', 'name': 'CBIC', 'id': '3287325307'}, {'screen_name': 'GST_Council', 'name': 'GST Council', 'id': '760929801897062400'}, {'screen_name': 'ficci_india', 'name': 'FICCI', 'id': '375474419'}, {'screen_name': 'ASSOCHAM4India', 'name': 'ASSOCHAM #WearAMask', 'id': '1046976224390778880'}, {'screen_name': 'FollowCII', 'name': 'Confederation of Indian Industry', 'id': '86479411'}]",,,,
1388568024345550850,1388567255047294978,2021-05-01 21:56:30 +03,2021-05-01,21:56:30,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@iSalmanAnsari @GST_Council @cbic_india @nsitharaman Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave @DIPPGOI,en,"[{'screen_name': 'dippgoi', 'name': 'dpiit india', 'id': '2585154385'}]",[],[],0,0,2,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388568024345550850,False,,0,,,,,,,,"[{'screen_name': 'iSalmanAnsari', 'name': 'CA Salman Ansari', 'id': '950125524'}, {'screen_name': 'GST_Council', 'name': 'GST Council', 'id': '760929801897062400'}, {'screen_name': 'cbic_india', 'name': 'CBIC', 'id': '3287325307'}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}]",,,,
1388567995941744642,1346699848389541888,2021-05-01 21:56:23 +03,2021-05-01,21:56:23,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@iSalmanAnsari Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave @DIPPGOI,en,"[{'screen_name': 'dippgoi', 'name': 'dpiit india', 'id': '2585154385'}]",[],[],0,0,5,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1388567995941744642,False,,0,,,,,,,,"[{'screen_name': 'iSalmanAnsari', 'name': 'CA Salman Ansari', 'id': '950125524'}]",,,,
